,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Hobsonville,New World Howick,New World Long Bay,New World Metro Shore City,New World Metro Queen St,New World Milford,New World Mt Albert,New World Mt Roskill,New World New Lynn,New World Newmarket,New World Ormiston,New World Papakura,New World Papatoetoe,New World Point Chevalier,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Highland Park,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square Botany Junction,Four Square Britomart,Four Square Cockle Bay,Four Square Eden Terrace,Four Square Ellerslie,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Hobsonville,Four Square Lancaster,Four Square Onehunga,Four Square Remuera,Four Square Pakuranga Heights,Four Square St Heliers,Four Square Torbay,Warehouse
New World Papatoetoe,2918.01,2432.07,1120.89,3115.66,3152.65,1852.81,2014.96,2734.92,1650.99,3304.88,2480.09,1690.43,2683.55,1861.55,1418.9,1938.21,1426.23,890.73,1453.73,0,1823.03,1394.18,785.56,1313.48,1770.95,2875.51,1188.19,951.31,1618.09,1675.36,2553.83,2284.49,777.49,404.25,1687.8,934.35,1372.47,1500.64,883.85,2513.38,2495.82,764.28,1765.63,1677.62,1505.97,1114.01,2486.96,2399.75,2779.39,2743.12,1275.12,1378.18,1282.54,1858.91,3360.73,1543.59
New World Point Chevalier,2193.45,1488.89,2140.57,2391.1,2209.47,1581.08,1097.27,1361.46,2296.87,2580.31,1536.91,853.95,1740.36,392.42,860.05,909.31,772.37,2312.29,2716.67,1890.25,0,1017.05,2230.57,1407.75,812.93,2150.95,2141.71,2313.55,1882.86,2098.51,1180.37,911.03,1575.97,1888.09,437.02,2355.9,2635.42,1173.44,1391.83,1570.2,1122.36,2185.83,889.26,2481.99,621.7,1062.09,1113.49,1300.21,1405.92,1799.94,1165.18,1142.22,1870.11,1931.58,2636.17,984.74
New World Remuera,2091.75,1605.81,1484.8,2289.4,2326.4,683.73,1904.99,2080.53,1641.1,2478.62,1653.84,864.18,1857.29,1035.29,1465.94,1694.6,388.83,1656.51,2060.9,1278.11,996.77,0,1574.8,571.02,944.7,2049.25,1485.94,2048.82,1002.11,1442.73,1899.44,1630.1,1572.38,1232.31,1239.58,1700.13,1979.64,711.37,736.05,1687.12,1841.43,1530.06,939.38,1826.21,679.72,406.32,1832.56,2062.5,2124.99,1916.86,678.66,226.21,1214.34,1009.34,2534.48,1590.62
New World Southmall,3223.45,2737.51,1203.03,3421.1,3458.09,2158.25,2360.58,3212.23,1733.14,3610.32,2785.54,1995.88,2988.99,2166.99,1764.51,2283.82,1731.68,953.84,926.07,958.99,2128.47,1699.63,0,1618.93,2076.4,3180.95,1270.34,482.88,1923.54,2047.62,3031.14,2761.8,1218.05,683.25,2033.41,997.45,769.88,1846.25,1189.29,2818.82,2973.13,858.3,2071.07,1759.77,1811.42,1419.46,2964.26,2745.36,3256.69,3048.56,1620.73,1683.62,1524.63,2164.35,3666.18,1889.2
New World Stonefields,2402.05,1916.11,1248.55,2599.7,2636.69,751.12,2215.29,2390.82,1382.92,2788.92,1964.14,1174.47,2167.59,1345.59,1776.23,2004.89,910.27,1653.88,2058.26,1275.48,1307.07,590.5,1572.17,0,1254.99,2359.55,1249.69,2046.19,626.02,1184.55,2209.74,1940.4,2021.43,1229.68,1549.87,1697.49,1977.01,997.16,531.98,1997.42,2151.73,1527.42,1249.67,1568.03,990.02,431.7,2142.86,2372.8,2435.29,2227.16,964.45,407.79,956.16,731.01,2844.77,1900.92
New World Victoria Park,1479.74,993.8,2191.32,1677.39,1714.38,1631.82,1670.14,1802.21,2347.61,1866.6,1041.82,314.86,1245.28,800.44,1231.08,1459.74,823.11,2363.03,2767.41,1984.63,761.92,1067.79,2281.32,1458.49,0,1437.23,2192.46,2755.34,1933.6,2149.25,1664.58,1395.24,1947,1938.83,1004.72,2406.64,2686.16,1327.62,1442.57,1075.11,1606.57,2236.57,382.63,2532.73,538.98,1112.84,1597.71,1827.64,1846.68,1304.85,1418.3,1192.97,1920.86,1982.33,1922.46,1355.77
Pak 'n Save Albany,131.55,1416.63,3047.56,530.43,1815.35,2488.07,2937.08,1084.19,3203.86,839.24,1142.79,1577.68,882.18,1887.96,2498.02,2500.17,1679.35,3219.27,3623.66,2840.87,1849.44,1924.03,3137.56,2314.73,1429.09,0,3048.7,3611.58,2789.84,3005.49,2118.87,1666.67,3213.94,2795.07,2092.25,3262.89,3542.4,2183.86,2298.81,758.88,1354.15,3092.81,1602.7,3388.97,1896.77,1969.08,1869.13,2637.03,1128.66,1284.87,2274.54,2049.21,2777.1,2838.57,895.09,2622.71
Pak 'n Save Botany,3119.6,2633.67,112.05,3317.25,3354.25,1680.34,2915.82,3108.38,546.29,3506.47,2681.69,1892.03,2885.15,2063.15,2319.75,2839.06,1627.83,622.08,1834.3,1199.08,2024.62,1595.78,1348.2,1245.69,1972.55,3077.1,0,1798.05,1349.88,570.66,2927.29,2657.95,1773.29,924.79,2267.43,665.69,1753.04,1673.64,1074.05,2714.98,2869.28,515.73,1967.23,572.92,1707.57,1315.61,2860.41,3090.35,3152.84,2944.72,1527.83,1579.78,494.66,1610.69,3562.33,2444.44
Pak 'n Save Clendon,3718.6,3232.66,1518.95,3916.25,3953.24,2653.4,2353.13,3073.08,2049.06,4105.46,3280.68,2491.02,3484.14,2406.69,1757.06,2276.37,2226.82,1269.76,1224.46,967.96,2324.72,2194.77,493.05,2114.07,2571.54,3676.09,1586.26,0,2418.68,2073.43,2891.99,2622.66,1210.6,1040.06,2025.96,1313.37,1068.27,1838.8,1684.44,3313.97,2833.99,1174.23,2566.22,2075.69,2306.56,1914.6,2825.12,2737.91,3117.55,3543.71,1613.28,2178.77,2019.77,2659.5,4161.32,1881.75
Pak 'n Save Glen Innes,2838.83,2352.89,1372.92,3036.48,3073.48,513.37,2652.07,2827.6,1507.28,3225.7,2400.92,1370.02,2604.37,1782.37,2213.01,2441.68,1229.7,1991.36,2395.75,1612.96,1743.85,999.43,1909.65,637.57,1691.78,2796.33,1374.06,2383.67,0,1308.92,2646.52,2377.18,2358.92,1567.17,1986.66,2034.98,2314.49,1433.94,837.7,2434.2,2588.51,1864.91,1314,1692.4,1426.8,868.48,2579.64,2809.58,2872.07,2663.94,1401.23,736.37,1080.52,408.08,3281.56,2337.7
